2025-02-11 21:03:53,219 - INFO - Starting event ingestion...
2025-02-11 21:03:53,264 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103747040>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,265 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103747f10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,265 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103747460>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,267 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10375ad30>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,267 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103747af0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,270 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103765670>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,270 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10378a160>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,271 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103779f10>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,272 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103782370>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,272 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10378a4c0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,273 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10378aac0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,274 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103796a90>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,275 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037a74f0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,275 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037b13a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,279 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037bf730>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,280 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037d7040>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,281 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037bfb50>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,281 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037cf5e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,282 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1037d7460>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,284 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110008520>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,284 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110008ac0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,284 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110011370>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-02-11 21:03:53,287 - ERROR - Failed to post event: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/events/ingest (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x110024580>: Failed to establish a new connection: [Errno 61] Connection refused'))
